name,birthArea,birthDate,foot,role,height,passportArea,weight,fouls,goals,own_goals,percent_pass_accuracy,percent_shots_on_target
Sam Hughes,England,1997-04-15,,MD,0,England,0,0,0,0,0,0
Axel Tuanzebe,Congo DR,1997-11-14,right,DF,185,England,72,0,0,0,0,0
Timothy Fosu-Mensah,Netherlands,1998-01-02,right,DF,190,Netherlands,79,0,0,0,0,0
Scott McTominay,England,1996-12-08,right,MD,193,England,88,0,0,0,0,0
Reiss Nelson,England,1999-12-10,right,MD,176,Zimbabwe,71,0,0,0,0,0
Domingos Quina,Guinea-Bissau,1999-11-18,right,MD,173,Portugal,65,0,0,0,0,0
Lasse S\u00f8rensen,Denmark,1999-10-21,right,MD,185,Denmark,75,0,0,0,0,0
Jayson Molumby,Ireland Republic,1999-08-06,right,MD,177,Ireland Republic,64,0,0,0,0,0
Jonathan Leko,Congo DR,1999-04-24,right,FW,183,England,75,0,0,0,0,0
Jordan Williams,England,1999-10-22,right,DF,179,England,73,0,0,0,0,0
Tyrese Campbell,England,1999-12-28,left,FW,183,England,75,0,0,0,0,0
Keshi Anderson,England,1995-04-06,right,FW,175,England,68,0,0,0,0,0
Alfie Whiteman,England,1998-10-02,right,GK,186,England,76,0,0,0,0,0
Kyle Walker-Peters,England,1997-04-13,right,DF,174,England,64,0,0,0,0,0
Brahim Abdelkader Diaz,Spain,1999-08-03,right,MD,170,Morocco,68,0,0,0,0,0
Jack Simpson,England,1997-01-08,right,DF,178,England,83,0,0,0,0,0
Josh Tymon,England,1999-05-22,left,DF,178,England,74,0,0,0,0,0
Hamza Choudhury,England,1997-10-01,right,MD,178,Bangladesh,64,0,0,0,0,0
Ethan Ampadu,England,2000-09-14,right,DF,182,Wales,78,0,0,0,0,0
Aaron Ramsdale,England,1998-05-14,right,GK,188,England,77,0,0,0,0,0
Sam Field,England,1998-05-08,left,MD,185,England,73,0,0,0,0,0
Abdelhamid Sabiri,Morocco,1996-11-28,right,MD,183,Germany,80,0,0,0,0,0
Kane Wilson,England,2000-03-11,right,DF,178,England,71,0,0,0,0,0
Aiden O'Neill,Australia,1998-07-04,right,MD,178,Northern Ireland,70,0,0,0,0,0
Phil Foden,England,2000-05-28,left,MD,175,England,68,0,0,0,0,0
Nathan Ferguson,England,2000-10-06,right,DF,181,England,70,0,0,0,0,0
Max Melbourne,England,1998-10-24,,DF,0,England,0,0,0,0,0,0
Rekeem Harper,England,2000-03-08,right,MD,188,England,64,0,0,0,0,0
Rayhaan Rahim Amari Tulloch,England,2001-01-20,right,FW,0,England,0,0,0,0,0,0
Beni Baningime,Congo DR,1998-09-09,right,MD,178,England,70,0,0,0,0,0
Michael Obafemi,Ireland Republic,2000-07-06,right,FW,169,Nigeria,71,0,0,0,0,0
Nathan Trott,Bermuda,1998-11-21,,GK,0,England,0,0,0,0,0,0
Joy Mukena,England,1999-07-03,,DF,0,England,0,0,0,0,0,0
Thomas Edwards,England,1999-01-22,right,DF,175,England,76,0,0,0,0,0
Ben Johnson,England,2000-01-24,right,DF,175,England,67,0,0,0,0,0
Tashan Oakley-Boothe,England,2000-02-14,right,MD,182,Jamaica,76,0,0,0,0,0
Julien Ngoy,Belgium,1997-11-02,right,FW,185,Belgium,70,0,0,0,0,0
Callum Hudson-Odoi,England,2000-11-07,right,MD,182,Ghana,79,0,0,0,0,0
Juan Marcos Foyth,Argentina,1998-01-12,right,DF,182,Spain,69,0,0,0,0,0
Aaron Wan-Bissaka,England,1997-11-26,right,DF,183,Congo DR,72,0,0,0,0,0
Carl Stewart,England,1997-05-02,,MD,174,England,68,0,0,0,0,0
Michael Folivi,England,1998-02-25,right,FW,180,Ghana,79,0,0,0,0,0
Kyle Jameson,England,1998-09-11,left,DF,186,England,73,0,0,0,0,0
Nya Kirby,England,2000-01-31,right,MD,173,England,66,0,0,0,0,0
Jason Eyenga-Lokilo,Belgium,1998-09-17,left,FW,175,Congo DR,65,0,0,0,0,0
Levi Lumeka,England,1998-09-05,right,FW,170,Congo DR,71,0,0,0,0,0
Dwight McNeil,England,1999-11-22,,MD,0,England,0,0,0,0,0,0
Conor Masterson,Ireland Republic,1998-09-08,right,DF,189,Ireland Republic,75,0,0,0,0,0
